id,steps_mean,steps_median,steps_std,steps_min,steps_max,steps_count,sleep_points_percentage_mean,sleep_points_percentage_median,sleep_points_percentage_std,sleep_points_percentage_min,sleep_points_percentage_max,sleep_points_percentage_count,stress_score_mean,stress_score_median,stress_score_std,stress_score_min,stress_score_max,stress_score_count,rmssd_mean,rmssd_median,rmssd_std,rmssd_min,rmssd_max,rmssd_count
621e345267b776a240691064,8160.783783783784,7296.0,3827.5582594821108,0.0,19775.0,37,0.37333333333333335,0.3333333333333333,0.3962166759753906,0.0,0.8333333333333334,10,40.7,39.5,42.93418736210625,0.0,84.0,10,,,,,,0
621e345c67b776a2407146a8,6395.4375,5922.5,3692.964586762548,0.0,16212.0,80,,,,,,0,,,,,,0,,,,,,0
621e346f67b776a24081744f,5776.6460905349795,4993.0,4344.882147335014,6.0,31170.0,243,0.7145833333333332,0.8333333333333334,0.2884626447211618,0.0,1.0,48,60.5625,68.5,23.612930329025325,0.0,80.0,48,27.271096153846152,27.6995,6.9266664386313845,0.0,46.626,208
621e34ca67b776a240be3b69,2566.081632653061,1161.0,2879.744308938546,0.0,10962.0,49,0.5824074074074074,0.7,0.35487409894537636,0.0,0.9666666666666668,36,52.333333333333336,67.0,31.06030999753314,0.0,82.0,36,19.72178787878788,18.949,3.0788515285489955,13.706,26.453,33
621e34db67b776a240c9c2be,7608.8125,7232.0,2981.7274213654373,1554.0,15342.0,32,,,,,,0,,,,,,0,,,,,,0
621e34ec67b776a240d60873,9262.388888888889,8603.0,6332.922159253452,0.0,18514.0,18,0.33666666666666667,0.26666666666666666,0.3622460796505909,0.0,0.8,10,38.7,36.0,40.90381671949724,0.0,84.0,10,32.25677777777778,33.047,2.6188734113057928,26.678,35.095,9
621e34f767b776a240de4e1a,4239.771929824561,3007.0,4147.102452390894,0.0,19980.0,57,,,,,,0,,,,,,0,,,,,,0
621e34ff67b776a240e446d6,11438.63492063492,10280.0,6144.744453337778,1009.0,27922.0,63,,,,,,0,,,,,,0,65.4149,67.0615,19.880469756837805,18.905,107.016,60
621e351a67b776a240f6204b,7238.460176991151,6743.0,4486.731665293389,0.0,24453.0,113,0.45151515151515154,0.6333333333333333,0.3522833168822154,0.0,0.8666666666666667,33,48.18181818181818,73.0,37.11085971910256,0.0,80.0,33,39.73312871287129,38.188,20.934396417218895,0.0,85.465,101
621e356967b776a24027bd9f,6222.89705882353,5538.5,3404.827582983016,535.0,14176.0,68,,,,,,0,,,,,,0,74.3835671641791,75.578,21.73536124036609,10.461,116.637,67
621e360b67b776a24039709f,10612.382352941177,9817.5,6061.955019430151,0.0,27788.0,68,0.5459119496855346,0.6333333333333333,0.2814967941016411,0.0,1.0,53,56.84905660377358,68.0,28.05996067929635,0.0,82.0,53,40.29466,38.8375,13.292220768692996,19.271,69.839,50
621e362467b776a2404ad513,6493.68115942029,6352.0,3846.316792391642,6.0,16685.0,69,0.5594771241830065,0.7,0.36284760960982543,0.0,1.0,51,52.21568627450981,69.0,32.76236482642253,0.0,82.0,51,31.382041666666666,31.4585,7.0332740687311865,0.0,44.77,48
621e366567b776a24076a727,14504.307692307691,14461.0,4078.7030181291893,1824.0,23684.0,65,0.7026881720430108,0.7333333333333333,0.18409413794212678,0.0,0.9,62,77.25806451612904,81.0,18.219009603888708,0.0,91.0,62,67.8821,67.1585,8.53531272092989,44.423,83.755,60
621e367e67b776a24087d75d,7150.469879518072,6763.0,3910.970538578975,0.0,28878.0,166,,,,,,0,,,,,,0,32.80776237623762,33.335,6.614765408007324,11.285,45.008,101
621e36bb67b776a240b40d64,11895.0,13141.0,6510.176877123122,272.0,25626.0,36,,,,,,0,,,,,,0,,,,,,0
621e36c267b776a240ba2756,12371.698412698413,11850.0,4245.010432127158,4661.0,26951.0,63,0.5901515151515152,0.7333333333333333,0.3315907587518696,0.0,0.9333333333333332,44,61.81818181818182,79.0,34.28218923789608,0.0,89.0,44,,,,,,0
621e36dd67b776a240ce9a45,8067.75,6785.5,4911.054001440351,297.0,25514.0,80,0.18888888888888888,0.0,0.32716515254078793,0.0,0.5666666666666667,3,23.333333333333332,0.0,40.414518843273804,0.0,70.0,3,,,,,,0
621e36f967b776a240e5e7c9,11709.15625,11484.0,5844.593244822143,1965.0,32360.0,64,0.7144927536231884,0.8333333333333334,0.3235338953306201,0.0,1.0,46,68.71739130434783,80.0,29.869838405602593,0.0,91.0,46,70.31579545454545,73.56700000000001,17.01282828650267,33.005,101.209,44
621e375367b776a24021e950,7227.553571428572,8088.0,4227.040782733956,0.0,15723.0,56,,,,,,0,,,,,,0,,,,,,0
621e375b67b776a240290cdc,11342.014084507042,11533.0,3872.471534500038,537.0,21982.0,71,0.7186868686868687,0.7666666666666667,0.22916636646162442,0.0,1.0,66,72.9090909090909,80.0,21.808768365553743,0.0,89.0,66,20.89386885245902,20.818,3.276016903066943,10.467,30.813,61
